numero_dpe;adresse_ban;numero_voie_ban;nom_rue_ban;nom_commune_ban;code_postal_ban;code_insee_ban;code_departement_ban;code_region_ban;identifiant_ban;statut_geocodage;adresse_brut;nom_commune_brut;code_postal_brut
2238N0901049P;20 Rue Monge 38100 Grenoble;20;Rue Monge;Grenoble;38100;38185;38;84;38185_5090_00020;adresse non géocodée ban car aucune correspondance trouvée;20 Rue Monge;GRENOBLE;38100
2238N2744053J;166 allee du parc 38920 Crolles;166;allee du parc;Crolles;38920;38140;38;84;38140_0497_00166;adresse géocodée ban à l'adresse;Bâtiment C 1;;
;;;;;;;;;;;;;
2138N0230853U;Rue Alphonse Daudet 38400 Saint-Martin-d'Hères;;Rue Alphonse Daudet;Saint-Martin-d'Hères;38400;38421;38;84;38421_0036;adresse non géocodée ban car aucune correspondance trouvée;ZAC DAUDET ILOT A3 ANETH RUE ALPHONSE DAUDET;SAINT MARTIN D'HERES;38400
2238N0580631V;249 Rue de la Convention 38670 Chasse-sur-Rhône;249;Rue de la Convention;Chasse-sur-Rhône;38670;38087;38;84;38087_0198_00249;adresse non géocodée ban car aucune correspondance trouvée;221, 249 rue de la Convention;CHASSE-SUR-RHONE;38670
2138N0655501K;Rue Marcel Reynaud 38920 Crolles;;Marcel Reynaud;Crolles;38920;38140;38;84;38140_0455;adresse géocodée ban à l'adresse;Marcel Reynaud;Crolles;38920
2438N1446968O;Route de Grenoble 38590 Saint-Étienne-de-Saint-Geoirs;;Route de Grenoble;Saint-Étienne-de-Saint-Geoirs;38590;38384;38;84;38384_0156;adresse non géocodée ban car aucune correspondance trouvée;Route de Grenoble;SAINT-ETIENNE-DE-SAINT-GEOIRS;38590
2438N3987154A;Route du Vernon 38410 Vaulnaveys-le-Haut;;Route du Vernon;Vaulnaveys-le-Haut;38410;38529;38;84;38529_0661;adresse non géocodée ban car aucune correspondance trouvée;1491 route du Vernon;VAULNAVEYS-LE-HAUT;38410
2438N2263007R;Rue Pierre Vincendon 38110 La Tour-du-Pin;;Rue Pierre Vincendon;La Tour-du-Pin;38110;38509;38;84;38509_0750;adresse géocodée ban à l'adresse;Rue Pierre Vincendon;LA TOUR DU PIN;38110
2238N1463418E;11 Allee du Docteur Pierre Berthier 38300 Bourgoin-Jallieu;11;Allee du Docteur Pierre Berthier;Bourgoin-Jallieu;38300;38053;38;84;38053_0061_00011;adresse non géocodée ban car aucune correspondance trouvée;11 DU DOCTEUR PIERRE BERTHIER;BOURGOIN-JALLIEU;38300
2438N1684393H;35 impasse des Chevaliers 38780 Eyzin-Pinet;35;impasse des Chevaliers;Eyzin-Pinet;38780;38160;38;84;38160_aas3np_00035;adresse non géocodée ban car aucune correspondance trouvée;35 Impasse des Chevaliers;EYZIN-PINET;38780
2438N2097173L;Rue Marguerite Rozand 38230 Pont-de-Chéruy;;Rue Marguerite Rozand;Pont-de-Chéruy;38230;38316;38;84;38316_0412;adresse non géocodée ban car aucune correspondance trouvée;2 Rue Marguerite Rozand;PONT DE CHERUY, France;38230
2438N2065537R;22 Rue Francisque Cartallier 38780 Pont-Évêque;22;Rue Francisque Cartallier;Pont-Évêque;38780;38318;38;84;38318_0025_00022;adresse géocodée ban à l'adresse;22 Rue Francisque Cartallier;PONT EVEQUE;38780
2438N1559313N;420 Impasse Jacques Brel 38920 Crolles;420;Impasse Jacques Brel;Crolles;38920;38140;38;84;38140_0292_00420;adresse non géocodée ban car aucune correspondance trouvée;420 RUE JACQUES BREL;CROLLES;38920
2138N0944371U;Route du Col du Sabot 38114 Vaujany;;Route du Col du Sabot;Vaujany;38114;38527;38;84;38527_0090;adresse non géocodée ban car aucune correspondance trouvée;Route du Col de Sabot;VAUJANY;38114
2338N3546888R;17 Rue Joseph Bouchayer 38100 Grenoble;17;Rue Joseph Bouchayer;Grenoble;38100;38185;38;84;38185_3960_00017;adresse non géocodée ban car aucune correspondance trouvée;17 rue Joseph Bouchayer;GRENOBLE;38100
2138N1042978J;Avenue de la Republique 38090 Villefontaine;;Avenue de la Republique;Villefontaine;38090;38553;38;84;38553_0710;adresse non géocodée ban car aucune correspondance trouvée;Avenue de la République;VILLEFONTAINE;38090
2338N0992210V;40 112 Route de Crémieu 38230 Tignieu-Jameyzieu;40;112 Route de Crémieu;Tignieu-Jameyzieu;38230;38507;38;84;38507_16h1rt_00040;adresse géocodée ban à l'adresse;de Crémieu;TIGNIEU-JAMEYZIEU;38230
2138N0609203S;Rue Neuve 38200 Villette-de-Vienne;;Rue Neuve;Villette-de-Vienne;38200;38558;38;84;38558_0043;adresse non géocodée ban car aucune correspondance trouvée;23 rue Feuillant;VILLETTE-DE-VIENNE;38200
2438N1966935H;Rue de la Liberté 38230 Pont-de-Chéruy;;Rue de la Liberté;Pont-de-Chéruy;38230;38316;38;84;38316_0200;adresse non géocodée ban car aucune correspondance trouvée;36 rue de la Liberté;PONT DE CHERUY, France;38230
2438N0475968K;Saint-Ismier;;;Saint-Ismier;38330;38397;38;84;38397;adresse non géocodée ban car aucune correspondance trouvée;289 St Ismier 2;St Ismier;38330
2238N0580734U;249 Rue de la Convention 38670 Chasse-sur-Rhône;249;Rue de la Convention;Chasse-sur-Rhône;38670;38087;38;84;38087_0198_00249;adresse non géocodée ban car aucune correspondance trouvée;221, 249 rue de la Convention;CHASSE-SUR-RHONE;38670
2438N0543422U;Rue de la République 38230 Pont-de-Chéruy;;Rue de la République;Pont-de-Chéruy;38230;38316;38;84;38316_0360;adresse non géocodée ban car aucune correspondance trouvée;Rue de la République;PONT-DE-CHÉRUY;38230
2138N0609216F;Rue Neuve 38200 Villette-de-Vienne;;Rue Neuve;Villette-de-Vienne;38200;38558;38;84;38558_0043;adresse non géocodée ban car aucune correspondance trouvée;23 rue Feuillant;VILLETTE-DE-VIENNE;38200
2338N4082344D;Rue Aimé Requet 38000 Grenoble;;Rue Aimé Requet;Grenoble;38000;38185;38;84;38185_0167;adresse non géocodée ban car aucune correspondance trouvée;rue René Maus / rue Aimé Requet;Grenoble;38000
2138N0753248X;Avenue de la République 38130 Echirolles;113a;Avenue de la république;Echirolles;38130;38151;38;84;38151_0550;adresse géocodée ban à l'adresse;113a Avenue de la république;Echirolles;38130
2338N2560444N;16 Rue de la République 38360 Sassenage;16;Rue de la République;Sassenage;38360;38474;38;84;38474_0160_00016;adresse non géocodée ban car aucune correspondance trouvée;16 rue de la République;SASSENAGE;38360
2338N4105246Z;143 Route de Grenoble 38420 Le Versoud;143;Route de Grenoble;Le Versoud;38420;38538;38;84;38538_0240_00143;adresse non géocodée ban car aucune correspondance trouvée;143 Route de Grenoble;LE VERSOUD;38420
2338N1982115C;Chemin des Sétérées du Dessous 38240 Meylan;;Chemin des Sétérées du Dessous;Meylan;38240;38229;38;84;38229_0731;adresse non géocodée ban car aucune correspondance trouvée;Sétérées du dessous;MEYLAN;38240
2438N1482710G;Rue des Amours 38140 Rives;;Rue des Amours;Rives;38140;38337;38;84;38337_0070;adresse non géocodée ban car aucune correspondance trouvée;Rue des Amours;RIVES;38140
2238N2852636Q;9 Rue Champ Nigat 38760 Varces-Allières-et-Risset;9;Rue Champ Nigat;Varces-Allières-et-Risset;38760;38524;38;84;38524_axz2sp_00009;adresse non géocodée ban car aucune correspondance trouvée;9 rue du champ Nigat;VARCES-ALLIERES-ET-RISSET;38760
2438N2352394Q;Rue de la Riviere 38230 Tignieu-Jameyzieu;;Rue de la Riviere;Tignieu-Jameyzieu;38230;38507;38;84;38507_2170;adresse non géocodée ban car aucune correspondance trouvée;RUE DE LA RIVIERE - LIEU DIT GRAND CHATENAY;TIGNIEU JAMEYZIEU;38230
2238N2596635L;Allée de la Batie 38330 Saint-Ismier;;;Saint-Ismier;38330;38397;38;84;38397_0026;adresse géocodée ban à l'adresse;GROUPE 20015;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
2238N0408349P;Rue des Sources 38920 Crolles;;Rue des Sources;Crolles;38920;38140;38;84;38140_0604;adresse géocodée ban à l'adresse;Rue des Sources;Crolles;38920
2438N2152642W;Avenue du Granier 38240 Meylan;;Avenue du Granier;Meylan;38240;38229;38;84;38229_0383;adresse non géocodée ban car aucune correspondance trouvée;AVENUE DU GRANIER;MEYLAN;38240
2338N2306975S;Route du Tram 38110 La Bâtie-Montgascon;;Route du Tram;La Bâtie-Montgascon;38110;38029;38;84;38029_0890;adresse non géocodée ban car aucune correspondance trouvée;Route du Vieux Four;LA BATIE-MONTGASCON;38110
2238N0760153N;Rue des Ecoles 38500 La Buisse;;;La Buisse;38500;38061;38;84;38061_0040;adresse géocodée ban à l'adresse;SCCV LA BUISSE ECOLES;;
;;;;;;;;;;;;;
2138N0773721I;Rue Gay 38400 Saint-Martin-d'Hères;;Rue Gay;Saint-Martin-d'Hères;38400;38421;38;84;38421_0340;adresse non géocodée ban car aucune correspondance trouvée;L'EQUALIS;;
;;;;;;;;;;;;;
2238N2852653H;9 Rue Champ Nigat 38760 Varces-Allières-et-Risset;9;Rue Champ Nigat;Varces-Allières-et-Risset;38760;38524;38;84;38524_axz2sp_00009;adresse non géocodée ban car aucune correspondance trouvée;9 rue du champ Nigat;VARCES-ALLIERES-ET-RISSET;38760
2238N1086583N;Route des 7 Laux 38190 Les Adrets;;;Les Adrets;38190;38002;38;84;38002_0016;adresse géocodée ban à l'adresse;LES GRANGES DES 7 LAUX;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
2338N1420003K;Rue Commandant Lenoir 38130 Échirolles;;Rue Commandant Lenoir;Échirolles;38130;38151;38;84;38151_0078;adresse non géocodée ban car aucune correspondance trouvée;Lotissement ''Le Clos de la Commanderie'';;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
2338N4152828B;route de lyon 38120 Saint-Égrève;;route de lyon;Saint-Égrève;38120;38382;38;84;38382_0340;adresse non géocodée ban car aucune correspondance trouvée;Route de Lyon;Saint Egrève;38120
2238N2283783R;Rue Emile Romanet 38370 Saint-Clair-du-Rhône;;;Saint-Clair-du-Rhône;38370;38378;38;84;38378_0310;adresse géocodée ban à l'adresse;Clair Romanet B;;
;;;;;;;;;;;;;
2238N1463324O;11 Allee du Docteur Pierre Berthier 38300 Bourgoin-Jallieu;11;Allee du Docteur Pierre Berthier;Bourgoin-Jallieu;38300;38053;38;84;38053_0061_00011;adresse non géocodée ban car aucune correspondance trouvée;11 DU DOCTEUR PIERRE BERTHIER;BOURGOIN-JALLIEU;38300
2238N0519725H;Rue Capitaine Lanvin-Lespiau 38000 Grenoble;;Rue Capitaine Lanvin-Lespiau;Grenoble;38000;38185;38;84;38185_1263;adresse non géocodée ban car aucune correspondance trouvée;Rue Capitaine Lanvin-Lespiau;Grenoble;38000
2238N3118729Z;Rue 93 Ème Ram 38750 Huez;;Rue 93 Ème Ram;Huez;38750;38191;38;84;38191_0430;adresse non géocodée ban car aucune correspondance trouvée;Rue du 93ème Ram ALPE D'HUEZ;L ALPE D HUEZ;38750
2238N2954774A;Lotissement les Frecheres 38480 Romagnieu;;Lotissement les Frecheres;Romagnieu;38480;38343;38;84;38343_8eoelm;adresse non géocodée ban car aucune correspondance trouvée;Lotissement '' Les Freichères '';ROMAGNIEU;38480
2138N0692265K;Rue des Alpes 38420 Domène;;Rue des Alpes;Domène;38420;38150;38;84;38150_0040;adresse non géocodée ban car aucune correspondance trouvée;RUE DES ALPES;DOMENE;38420
2438N2217801Z;Rue des Amours 38140 Rives;;Rue des Amours;Rives;38140;38337;38;84;38337_0070;adresse non géocodée ban car aucune correspondance trouvée;Rue des Amours;RIVES;38140
2338N2415232L;Rue Voltaire 38400 Saint-Martin-d'Hères;;Rue Voltaire;Saint-Martin-d'Hères;38400;38421;38;84;38421_1032;adresse non géocodée ban car aucune correspondance trouvée;LA PLAINE VOLTAIRE;SAINT-MARTIN-D'HERES;38400
2238N1912907F;Rue des Glières 38760 Varces-Allières-et-Risset;;Rue des Glières;Varces-Allières-et-Risset;38760;38524;38;84;38524_0060;adresse non géocodée ban car aucune correspondance trouvée;ZAC des Coins - La Giraudières;VARCES-ALLIERES-ET-RISSET;38760
2338N0099308L;Rue du Travail 38230 Pont-de-Chéruy;;Rue du Travail;Pont-de-Chéruy;38230;38316;38;84;38316_0440;adresse non géocodée ban car aucune correspondance trouvée;Rue du Travail Lot 23 Le domaine des aberoux;PONT-DE-CHERUY;38230
2238N1217307J;Avenue de la Republique 38090 Villefontaine;;;Villefontaine;38090;38553;38;84;38553_0710;adresse géocodée ban à l'adresse;de la Republique;VILLEFONTAINE;38090
2238N2628472Y;Rue de Nantes 38000 Grenoble;;;Grenoble;38000;38185;38;84;38185_5240;adresse géocodée ban à l'adresse;Le Ginkgo;;
;;;;;;;;;;;;;
2438N0057501N;Chemin de Tarze 38680 Saint-André-en-Royans;;Chemin de Tarze;Saint-André-en-Royans;38680;38356;38;84;38356_0435;adresse géocodée ban à l'adresse;Tarze;ST ANDRE EN ROYANS;38680
2238N2898749F;Boulevard de Saint-hubert 38080 L'Isle-d'Abeau;;Boulevard de Saint-hubert;L'Isle-d'Abeau;38080;38193;38;84;38193_0265;adresse non géocodée ban car aucune correspondance trouvée;Rue Stéphane Hessel / Boulevard Saint Hubert / Avenue Henri Bergson;L ISLE D ABEAU, France;38080
2338N0924603O;Rue de lâ€ Eglise 38200 Seyssuel;;Rue de lâ€ Eglise;Seyssuel;38200;38487;38;84;38487_0040;adresse géocodée ban à l'adresse;BAT B;;
;;;;;;;;;;;;;
2438N0429564Q;Chemin du Salamot 38210 Tullins;;Chemin du Salamot;Tullins;38210;38517;38;84;38517_0623;adresse non géocodée ban car aucune correspondance trouvée;CHEMIN DU SALAMOT;TULLINS;38210
2238N1394041V;2 Rue de l'Atlas 38130 Échirolles;2;Rue de l'Atlas;Échirolles;38130;38151;38;84;38151_0048_00002;adresse géocodée ban à l'adresse;2 rue de l'ATLAS;ECHIROLLES, France;38130
2438N1968956A;Rue de la Liberté 38230 Pont-de-Chéruy;;Rue de la Liberté;Pont-de-Chéruy;38230;38316;38;84;38316_0200;adresse non géocodée ban car aucune correspondance trouvée;36 rue de la Liberté;PONT DE CHERUY, France;38230
2138N0306928T;10 Boulevard des Frères Desaire 38170 Seyssinet-Pariset;10;Boulevard des Frères Desaire;Seyssinet-Pariset;38170;38485;38;84;38485_0290_00010;adresse géocodée ban à l'adresse;Alp’Inn & Saf’Ari;;
;;;;;;;;;;;;;
2338N1680764R;Avenue de Claix 38180 Seyssins;;Avenue de Claix;Seyssins;38180;38486;38;84;38486_0350;adresse géocodée ban à l'adresse;Résidence Terre Blanche,;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
2338N3068820L;3 Impasse des Breilles 38390 Montalieu-Vercieu;3;Impasse des Breilles;Montalieu-Vercieu;38390;38247;38;84;38247_8c1m4r_00003;adresse géocodée ban à l'adresse;3 Impasse des Breilles;MONTALIEU VERCIEU;38390
2238N1086571B;Route des 7 Laux 38190 Les Adrets;;;Les Adrets;38190;38002;38;84;38002_0016;adresse géocodée ban à l'adresse;LES GRANGES DES 7 LAUX;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
2238N0901124M;20 Rue Monge 38100 Grenoble;20;Rue Monge;Grenoble;38100;38185;38;84;38185_5090_00020;adresse non géocodée ban car aucune correspondance trouvée;20 Rue Monge;GRENOBLE;38100
2338N4363675O;Impasse de la Garenne 38890 Vignieu;;Impasse de la Garenne;Vignieu;38890;38546;38;84;38546_0449;adresse géocodée ban à l'adresse;26 impasse de l'Usine;VIGNIEU;38890
2138N0858633E;Rue Elisha Gray 38090 Villefontaine;;Rue Elisha Gray;Villefontaine;38090;38553;38;84;38553_6pb82u;adresse non géocodée ban car aucune correspondance trouvée;Rue Elisha Gray;VILLEFONTAINE;38090
2238N1932694G;Rue Pierre Dalloz 38360 Sassenage;;Rue Pierre Dalloz;Sassenage;38360;38474;38;84;38474_0063;adresse non géocodée ban car aucune correspondance trouvée;PIERRE DALLOZ;SASSENAGE;38360
2238N1463376O;11 Allee du Docteur Pierre Berthier 38300 Bourgoin-Jallieu;11;Allee du Docteur Pierre Berthier;Bourgoin-Jallieu;38300;38053;38;84;38053_0061_00011;adresse non géocodée ban car aucune correspondance trouvée;11 DU DOCTEUR PIERRE BERTHIER;BOURGOIN-JALLIEU;38300
2338N3202347C;Avenue de Verdun 38240 Meylan;;Avenue de Verdun;Meylan;38240;38229;38;84;38229_0790;adresse non géocodée ban car aucune correspondance trouvée;Avenue de Verdun;MEYLAN;38240
2238N2614419L;Chemin de Villantey 38690 Bizonnes;;Chemin de Villantey;Bizonnes;38690;38046;38;84;38046_0700;adresse non géocodée ban car aucune correspondance trouvée;CHEMIN DE VILLANTEY;BIZONNES;38690
2338N1847393M;Route de Voiron 38430 Moirans;;Route de Voiron;Moirans;38430;38239;38;84;38239_0520;adresse non géocodée ban car aucune correspondance trouvée;La Guillonière, Route de Voiron;MOIRANS;38430
2469N0478514N;Chemin de la Cholatière 38620 Saint-Geoire-en-Valdaine;;Chemin de la Cholatière;Saint-Geoire-en-Valdaine;38620;38386;38;84;38386_0240;adresse géocodée ban à l'adresse;chemin de la Cholatière;COLOMBIER-SAUGNIEU;69124
2338N0799135W;Avenue de la Falaise 38360 Sassenage;;Avenue de la Falaise;Sassenage;38360;38474;38;84;38474_0037;adresse non géocodée ban car aucune correspondance trouvée;Avenue de la Falaise;SASSENAGE;38360
2238N0547122A;Boulevard Jules Ferry 38190 Villard-Bonnot;;Boulevard Jules Ferry;Villard-Bonnot;38190;38547;38;84;38547_0310;adresse non géocodée ban car aucune correspondance trouvée;BD JULES FERRY;VILLARD BONNOT;38190
2238N0198208G;3 Impasse du Coteau Saint Helene 38200 Vienne;3;Impasse du Coteau Saint Helene;Vienne;38200;38544;38;84;38544_iiiwrk_00003;adresse non géocodée ban car aucune correspondance trouvée;3 du Coteau Sainte-Hélène;VIENNE;38200
2238N1526569B;11 Allee du Docteur Pierre Berthier 38300 Bourgoin-Jallieu;11;Allee du Docteur Pierre Berthier;Bourgoin-Jallieu;38300;38053;38;84;38053_0061_00011;adresse non géocodée ban car aucune correspondance trouvée;11 DU DOCTEUR PIERRE BERTHIER;BOURGOIN-JALLIEU;38300
2138N0635795M;6 Chemin Doutan 38490 Les Abrets en Dauphiné;6;Chemin Doutan;Les Abrets en Dauphiné;38490;38001;38;84;38001_0118_00006;adresse non géocodée ban car aucune correspondance trouvée;6 Chemin Doutan;LES ABRETS EN DAUPHINE;38490
2438N1065519L;Route de Champ - Chabert 38500 La Buisse;;Route de Champ - Chabert;La Buisse;38500;38061;38;84;38061_0033;adresse non géocodée ban car aucune correspondance trouvée;Lotissement ''Le pré Jourdan'' lot 11, lieu dit ''Champ Chabert'', route de la Buisse;COUBLEVIE;38500
2338N0728537O;Avenue de Claix 38180 Seyssins;;Avenue de Claix;Seyssins;38180;38486;38;84;38486_0350;adresse non géocodée ban car aucune correspondance trouvée;Avenue de Claix;SEYSSINS;38180
2138N0783387C;Rue des Brieux 38120 Saint-Égrève;;Rue des Brieux;Saint-Égrève;38120;38382;38;84;38382_0080;adresse non géocodée ban car aucune correspondance trouvée;Rue de Brieux;SAINT EGREVE;38120
2238N2265088Q;Route de la Plaine 38230 Chavanoz;;Route de la Plaine;Chavanoz;38230;38097;38;84;38097_0456;adresse non géocodée ban car aucune correspondance trouvée;Route de la Plaine;Chavanoz;38230
2238N2404303B;Lotissement le Clos Lafayette 38790 Diémoz;;Lotissement le Clos Lafayette;Diémoz;38790;38144;38;84;38144_A062;adresse non géocodée ban car aucune correspondance trouvée;Lotissement ''Cinq Lots'' - Lot 1 - 27 Rue Lafayet;Diémoz;38790
2338N2133838P;Rue des Amours 38140 Rives;;Rue des Amours;Rives;38140;38337;38;84;38337_0070;adresse non géocodée ban car aucune correspondance trouvée;Rue des Amours;RIVES;38140
2138N0531943E;Rue Olympe de Gouges 38320 Eybens;;1, rue Olympe de Gouges;Eybens;38320;38158;38;84;38158_0182;adresse géocodée ban à l'adresse;1, rue Olympe de Gouges;Eybens;38320
2238N3118626A;Rue 93 Ème Ram 38750 Huez;;Rue 93 Ème Ram;Huez;38750;38191;38;84;38191_0430;adresse non géocodée ban car aucune correspondance trouvée;Rue du 93ème Ram ALPE D'HUEZ;L ALPE D HUEZ;38750
2238N1217494O;Avenue de la Republique 38090 Villefontaine;;;Villefontaine;38090;38553;38;84;38553_0710;adresse géocodée ban à l'adresse;de la Republique;VILLEFONTAINE;38090
2238N1312749F;Boulevard Franklin Roosevelt 38500 Voiron;;Boulevard Franklin Roosevelt;Voiron;38500;38563;38;84;38563_0550;adresse non géocodée ban car aucune correspondance trouvée;Boulevard Franklin Roosevelt et Denfert Rochereau;Voiron;38500
2238N1966037R;Rue de Penelon 38510 Creys-Mépieu;;;Creys-Mépieu;38510;38139;38;84;38139_0620;adresse géocodée ban à l'adresse;427 A Rue de Penelon;CREYS-MÉPIEU;38510
2238N0327168G;Rue de la Résistance 38170 Seyssinet-Pariset;;Rue de la Résistance;Seyssinet-Pariset;38170;38485;38;84;38485_0580;adresse non géocodée ban car aucune correspondance trouvée;13/15/17 Rue de la résistance;SEYSSINET-PARISET;38170
2238N0402691Z;Avenue Frederic Joliot Curie 38130 Échirolles;;Avenue Frederic Joliot Curie;Échirolles;38130;38151;38;84;38151_0160;adresse non géocodée ban car aucune correspondance trouvée;AVENUE FREDERIC JOLIOT CURIE;ECHIROLLES;38130
2238N0999957T;Rue de la Contamine 38120 Saint-Égrève;;;Saint-Égrève;38120;38382;38;84;38382_0150;adresse géocodée ban à l'adresse;2 allée de la Contamine;SAINT-ÉGRÈVE;38120
